[INFO 5:22:27 PM] miguelsolorio.symbols activated
[INFO 5:22:27 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:22:27 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:22:27 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:22:27 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 5:22:28 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:22:28 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:22:28 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:22:28 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 5:22:28 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:22:28 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:22:28 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:22:28 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 5:22:29 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:22:29 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:22:29 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:22:29 PM] 🤖 symbols.files.associations changed, updating to undefined
