[INFO 5:19:05 PM] miguelsolorio.symbols activated
[INFO 5:19:05 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:19:05 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:19:05 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:19:05 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 5:19:06 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:19:06 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:19:06 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:19:06 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 5:19:07 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:19:07 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:19:07 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:19:07 PM] 🤖 symbols.files.associations changed, updating to undefined
