[INFO 5:13:57 PM] miguelsolorio.symbols activated
[INFO 5:13:57 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:13:57 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:13:57 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:13:57 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 5:13:58 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:13:58 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:13:58 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:13:58 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 5:14:41 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:14:41 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:14:41 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:14:41 PM] 🤖 symbols.files.associations changed, updating to undefined
